FT  ID  AT  WT  ST
2   2   1   0   1
2   8   1   0   1
2   1   1   0   1
2   10   1   0   1
2   3   1   0   1
3   11   2   0   1
3   13   2   0   1
3   5   1   0   2
4   12   2   0   2
4   6   1   0   3
4   7   1   0   3
5   22   3   0   2
5   28   3   0   2
5   21   3   0   2
5   30   3   0   2
5   23   3   0   2
5   16   2   0   3
5   15   2   0   3
5   17   2   0   3
5   4   1   0   4
6   31   4   0   2
6   33   4   0   2
6   25   3   0   3
6   9   1   0   5
7   32   4   0   3
7   26   3   0   4
7   27   3   0   4
7   19   2   0   5
7   14   2   0   5
7   18   2   0   5
7   20   2   0   5
8   42   5   0   3
8   48   5   0   3
8   41   5   0   3
8   40   4   1   3
8   43   5   0   3
8   36   4   0   4
8   35   4   0   4
8   37   4   0   4
8   24   3   0   5
9   51   6   0   3
9   53   6   0   3
9   45   5   0   4
9   29   3   0   6
10   52   6   0   4
10   46   5   0   5
10   38   4   0   6
11   62   7   0   4
11   68   7   0   4
11   61   7   0   4
11   50   5   2   4
11   63   7   0   4
11   56   6   0   5
11   55   6   0   5
11   47   5   1   5
12   71   8   0   4
12   73   8   0   4
12   65   7   0   5
13   72   8   0   5
13   66   7   0   6
13   57   6   1   6
13   58   6   0   7
14   82   9   0   5
14   88   9   0   5
14   81   9   0   5
14   60   6   3   5
14   83   9   0   5
14   76   8   0   6
14   75   8   0   6
14   67   7   1   6
15   91   10   0   5
15   93   10   0   5
15   85   9   0   6
16   92   10   0   6
16   86   9   0   7
16   70   7   2   7
16   77   8   1   7
16   78   8   0   8
17   100   10   1   6
17   96   10   0   7
17   90   9   1   7
17   95   10   0   7
19   87   9   2   8
19   98   10   0   9
19   80   8   2   9
20   69   7   6   7
20   97   10   2   8
20   34   4   7   9
21   49   5   6   10
21   39   4   7   10
22   59   6   6   10
23   79   8   7   8
25   44   5   9   11
26   89   9   8   9
26   54   6   9   11
32   64   7   12   13
33   99   10   9   14
37   74   8   14   15
38   84   9   14   15
44   94   10   17   17
Region A:
	Orders: 20 [Norm:10, Froz:10, VIP:0]
	MotorC: 12  [Norm:6, Froz:4, VIP:2]
	AVG Wait = 0.4, AVG Serve = 4.95

Region B:
	Orders: 20 [Norm:0, Froz:0, VIP:20]
	MotorC: 13  [Norm:7, Froz:4, VIP:2]
	AVG Wait = 0, AVG Serve = 4

Region C:
	Orders: 30 [Norm:10, Froz:10, VIP:10]
	MotorC: 8  [Norm:4, Froz:3, VIP:1]
	AVG Wait = 4.76667, AVG Serve = 7.93333

Region D:
	Orders: 30 [Norm:10, Froz:10, VIP:10]
	MotorC: 19  [Norm:8, Froz:6, VIP:5]
	AVG Wait = 0, AVG Serve = 3.83333

